#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)
1.000000e-07 2.381195e+17 2.914000e-03 2.224000e-05 9.080000e-01
1.000000e-07 2.521382e+17 2.540000e-03 2.043000e-05 9.170000e-01
1.000000e-07 2.671946e+17 2.196000e-03 1.855000e-05 9.270000e-01
1.000000e-07 2.830902e+17 1.896000e-03 1.668000e-05 9.340000e-01
1.000000e-07 2.997924e+17 1.629000e-03 1.469000e-05 9.380000e-01

1.585000e-07 2.997924e+11 2.172000e-07 1.596000e-20 0.000000e+00
1.585000e-07 3.175431e+11 2.437000e-07 2.010000e-20 0.000000e+00
1.585000e-07 3.363541e+11 2.735000e-07 2.530000e-20 0.000000e+00
1.585000e-07 3.563018e+11 3.069000e-07 3.185000e-20 0.000000e+00
1.585000e-07 3.774297e+11 3.444000e-07 4.010000e-20 0.000000e+00
1.585000e-07 3.997765e+11 3.865000e-07 5.048000e-20 0.000000e+00
1.585000e-07 4.234956e+11 4.337000e-07 6.355000e-20 0.000000e+00
1.585000e-07 4.485897e+11 4.866000e-07 8.001000e-20 0.000000e+00
1.585000e-07 4.751068e+11 5.461000e-07 1.007000e-19 0.000000e+00
1.585000e-07 5.032607e+11 6.127000e-07 1.268000e-19 0.000000e+00
1.585000e-07 5.331538e+11 6.876000e-07 1.597000e-19 0.000000e+00
1.585000e-07 5.646873e+11 7.716000e-07 2.010000e-19 0.000000e+00
1.585000e-07 5.981493e+11 8.659000e-07 2.531000e-19 0.000000e+00
1.585000e-07 6.335426e+11 9.719000e-07 3.186000e-19 0.000000e+00
1.585000e-07 6.711269e+11 1.091000e-06 4.011000e-19 0.000000e+00
1.585000e-07 7.109139e+11 1.224000e-06 5.049000e-19 0.000000e+00
1.585000e-07 7.530580e+11 1.374000e-06 6.357000e-19 0.000000e+00
1.585000e-07 7.977446e+11 1.542000e-06 8.004000e-19 0.000000e+00
1.585000e-07 8.449617e+11 1.731000e-06 1.008000e-18 0.000000e+00
1.585000e-07 8.949028e+11 1.944000e-06 1.269000e-18 0.000000e+00
1.585000e-07 9.481102e+11 2.183000e-06 1.597000e-18 0.000000e+00
1.585000e-07 1.004330e+12 2.451000e-06 2.011000e-18 0.000000e+00
1.585000e-07 1.063848e+12 2.752000e-06 2.532000e-18 0.000000e+00
1.585000e-07 1.126616e+12 3.090000e-06 3.189000e-18 0.000000e+00
1.585000e-07 1.193441e+12 3.469000e-06 4.015000e-18 0.000000e+00
1.585000e-07 1.264413e+12 3.897000e-06 5.055000e-18 0.000000e+00
1.585000e-07 1.338957e+12 4.379000e-06 6.365000e-18 0.000000e+00
1.585000e-07 1.418800e+12 4.920000e-06 8.014000e-18 0.000000e+00
1.585000e-07 1.502719e+12 5.529000e-06 1.009000e-17 0.000000e+00
1.585000e-07 1.591255e+12 6.213000e-06 1.271000e-17 0.000000e+00
1.585000e-07 1.686122e+12 6.981000e-06 1.600000e-17 0.000000e+00
1.585000e-07 1.785542e+12 7.848000e-06 2.015000e-17 0.000000e+00
1.585000e-07 1.891435e+12 8.826000e-06 2.538000e-17 0.000000e+00
1.585000e-07 2.003960e+12 9.928000e-06 3.196000e-17 0.000000e+00
1.585000e-07 2.121673e+12 1.117000e-05 4.025000e-17 0.000000e+00
1.585000e-07 2.247319e+12 1.257000e-05 5.069000e-17 0.000000e+00
1.585000e-07 2.381195e+12 1.415000e-05 6.384000e-17 0.000000e+00
1.585000e-07 2.521382e+12 1.594000e-05 8.042000e-17 0.000000e+00
1.585000e-07 2.671946e+12 1.795000e-05 1.013000e-16 0.000000e+00
1.585000e-07 2.830902e+12 2.023000e-05 1.276000e-16 0.000000e+00
1.585000e-07 2.997924e+12 2.281000e-05 1.607000e-16 0.000000e+00
1.585000e-07 3.175431e+12 2.574000e-05 2.024000e-16 0.000000e+00
1.585000e-07 3.363541e+12 2.905000e-05 2.550000e-16 0.000000e+00
1.585000e-07 3.563018e+12 3.281000e-05 3.212000e-16 0.000000e+00
1.585000e-07 3.774297e+12 3.707000e-05 4.045000e-16 0.000000e+00
1.585000e-07 3.997765e+12 4.187000e-05 5.095000e-16 0.000000e+00
1.585000e-07 4.234956e+12 4.735000e-05 6.416000e-16 0.000000e+00
1.585000e-07 4.485897e+12 5.358000e-05 8.077000e-16 0.000000e+00
1.585000e-07 4.751068e+12 6.061000e-05 1.017000e-15 0.000000e+00
1.585000e-07 5.032607e+12 6.856000e-05 1.279000e-15 0.000000e+00
1.585000e-07 5.331538e+12 7.756000e-05 1.609000e-15 0.000000e+00
1.585000e-07 5.646873e+12 8.770000e-05 2.022000e-15 0.000000e+00
1.585000e-07 5.981493e+12 9.906000e-05 2.541000e-15 0.000000e+00
1.585000e-07 6.335426e+12 1.119000e-04 3.191000e-15 0.000000e+00
1.585000e-07 6.711269e+12 1.263000e-04 4.004000e-15 0.000000e+00
1.585000e-07 7.109139e+12 1.424000e-04 5.022000e-15 0.000000e+00
1.585000e-07 7.530580e+12 1.603000e-04 6.283000e-15 0.000000e+00
1.585000e-07 7.977446e+12 1.800000e-04 7.856000e-15 0.000000e+00
1.585000e-07 8.449617e+12 2.011000e-04 9.849000e-15 0.000000e+00
1.585000e-07 8.949028e+12 2.251000e-04 1.235000e-14 0.000000e+00
1.585000e-07 9.481102e+12 2.536000e-04 1.547000e-14 0.000000e+00
1.585000e-07 1.004330e+13 2.864000e-04 1.935000e-14 0.000000e+00
1.585000e-07 1.063848e+13 3.229000e-04 2.411000e-14 0.000000e+00
1.585000e-07 1.126616e+13 3.650000e-04 3.005000e-14 0.000000e+00
1.585000e-07 1.193441e+13 4.137000e-04 3.749000e-14 0.000000e+00
1.585000e-07 1.264413e+13 4.677000e-04 4.633000e-14 0.000000e+00
1.585000e-07 1.338957e+13 5.309000e-04 5.727000e-14 0.000000e+00
1.585000e-07 1.418800e+13 6.042000e-04 6.980000e-14 0.000000e+00
1.585000e-07 1.502719e+13 6.914000e-04 8.413000e-14 0.000000e+00
1.585000e-07 1.591255e+13 7.688000e-04 9.403000e-14 0.000000e+00
1.585000e-07 1.686122e+13 7.720000e-04 9.659000e-14 0.000000e+00
1.585000e-07 1.785542e+13 7.025000e-04 9.770000e-14 0.000000e+00
