READ SERR 1
@dist_0.pco
!
0.300266713 1.72845507E-3 0.999076486
0.303743631 1.74846966E-3 0.999106586
0.307260841 1.76871591E-3 0.999135733
0.310818732 1.78919674E-3 0.999163926
0.314417839 1.8099146E-3 0.999191225
0.31805864 1.8308725E-3 0.999217689
0.321741581 1.85207301E-3 0.999243259
0.325467169 1.87351892E-3 0.999267876
0.329235911 1.89521327E-3 0.999291718
0.333048284 1.91715884E-3 0.999314904
0.336904794 1.93935854E-3 0.999337375
0.340805978 1.96181517E-3 0.999359131
0.344752312 1.98453199E-3 0.999380171
0.348744363 2.00751168E-3 0.999400556
0.352782637 2.03075772E-3 0.99941951
0.356867671 2.05427269E-3 0.999437809
0.361000001 2.07806006E-3 0.999456286
0.365180165 2.10212287E-3 0.999474168
0.369408756 2.12646439E-3 0.999491513
0.373686314 2.15108762E-3 0.999508262
0.378013402 2.17599608E-3 0.999524474
0.382390589 2.20119278E-3 0.99954015
0.386818469 2.22668145E-3 0.99955529
0.391297609 2.25246535E-3 0.999570012
0.395828635 2.2785475E-3 0.999584198
0.400412112 2.30493187E-3 0.999597967
0.405048668 2.33162171E-3 0.999599695
0.409738898 2.35862075E-3 0.999601305
0.414483458 2.38593225E-3 0.999614298
0.419282943 2.41355994E-3 0.999626875
0.42413801 2.44150776E-3 0.999639034
0.429049283 2.46977899E-3 0.999650836
0.43401745 2.49837781E-3 0.99966222
0.439043134 2.52730749E-3 0.999673247
0.444127023 2.55657244E-3 0.999683857
0.449269772 2.58617615E-3 0.999694169
0.454472065 2.6161226E-3 0.999704182
0.459734619 2.64641596E-3 0.999713838
0.465058088 2.67705997E-3 0.999723256
0.470443189 2.7080588E-3 0.999732316
0.475890666 2.73941667E-3 0.999741137
0.481401235 2.77113752E-3 0.999749601
0.48697558 2.803226E-3 0.999757826
0.492614508 2.83568562E-3 0.999765635
0.498318702 2.86852149E-3 0.999773204
0.504088998 2.90173735E-3 0.999780774
0.509926021 2.93533783E-3 0.999788105
0.515830696 2.96932738E-3 0.999795079
0.521803737 3.00371065E-3 0.999798179
0.527845979 3.03849205E-3 0.999801457
0.533958137 3.07367602E-3 0.999811113
0.540141046 3.10926745E-3 0.99969697
0.5463956 3.14527121E-3 0.999627352
0.552722573 3.18169175E-3 0.999689221
0.559122801 3.21853394E-3 0.999710083
0.565597117 3.25580291E-3 0.99972105
0.572146416 3.29350331E-3 0.999732614
0.578771591 3.33164027E-3 0.999743044
0.585473418 3.37021868E-3 0.999751747
0.59225291 3.40924412E-3 0.999759138
0.599110842 3.44872125E-3 0.999766111
0.606048226 3.48865567E-3 0.999772906
0.613065958 3.52905225E-3 0.999779522
0.620164931 3.56991682E-3 0.99978596
0.627346098 3.61125451E-3 0.999792218
0.634610415 3.65307089E-3 0.999798298
0.641958833 3.69537133E-3 0.999804199
0.649392366 3.73816187E-3 0.99980998
0.656912029 3.78144765E-3 0.999815583
0.664518654 3.82523471E-3 0.999821007
0.672213435 3.86952888E-3 0.999826312
0.679997325 3.91433574E-3 0.999831498
0.687871337 3.95966182E-3 0.999836504
0.695836484 4.00551269E-3 0.999841332
0.7038939 4.05189442E-3 0.999806285
0.712044597 4.09881305E-3 0.999801815
0.720289707 4.14627511E-3 0.999832511
0.728630245 4.19428665E-3 0.999836802
0.737067401 4.24285419E-3 0.999845326
0.74560225 4.29198379E-3 0.999850333
0.754235864 4.34168288E-3 0.999854922
0.762969553 4.39195707E-3 0.999859393
0.771804333 4.44281381E-3 0.999863744
0.780741394 4.49425913E-3 0.999867976
0.789781928 4.54630004E-3 0.999872088
0.798927188 4.59894352E-3 0.999875903
0.808178306 4.65219701E-3 0.999879599
0.817536592 4.70606703E-3 0.999883115
0.827003181 4.76056058E-3 0.999886572
0.836579442 4.8156851E-3 0.99988997
0.846266568 4.8714485E-3 0.999893248
0.856065869 4.92785685E-3 0.999895394
0.865978658 4.98491898E-3 0.999891818
0.876006246 5.04264142E-3 0.999889076
0.886149883 5.10103256E-3 0.999891996
0.896411061 5.16009983E-3 0.999895155
0.906790972 5.21985069E-3 0.999898195
0.917291105 5.28029399E-3 0.999901175
