E + GRAIN0 -> GRAIN-
H+ + H2SIO -> HSIO+ + H2
H+ + H2SIO -> H2SIO+ + H
H+ + HCCP -> PC2H+ + H
H+ + NH3 -> NH3+ + H
H+ + SIC2H -> SIC2+ + H2
H+ + SIC2H -> SIC2H+ + H
H+ + SIC3 -> SIC3+ + H
H+ + SICH2 -> CHSI+ + H2
H+ + SICH2 -> CH2SI+ + H
H+ + SIH3 -> SIH2+ + H2
H+ + SIH3 -> SIH3+ + H
H+ + C2H2N -> C2H2N+ + H
H+ + C2H2O -> C2H2O+ + H
H+ + C2H3 -> C2H2+ + H2
H+ + C2H3 -> C2H3+ + H
H+ + C3H2 -> C3H+ + H2
H+ + H2C3 -> C3H+ + H2
H+ + C3H2 -> C3H2+ + H
H+ + H2C3 -> H2C3+ + H
H+ + C4H -> C4+ + H2
H+ + C4H -> C4H+ + H
H+ + C4P -> C4P+ + H
H+ + C4S -> C4S+ + H
H+ + C5 -> C5+ + H
H+ + CH2O2 -> HCO2+ + H2
H+ + CH2O2 -> CH2O2+ + H
H+ + CH2PH -> PCH3+ + H
H+ + CH3N -> HCNH+ + H2
H+ + CH4 -> CH3+ + H2
H+ + CH4 -> CH4+ + H
H+ + HCNC2 -> HCN+ + C2H
H+ + HCNC2 -> C2H+ + HCN
H+ + HCNC2 -> C3N+ + H2
H+ + HCNC2 -> C2NH+ + CH
H+ + HC2NC -> C2H2N+ + C
H+ + HC2NC -> C2H2+ + CN
H+ + HC2NC -> C3N+ + H2
H+ + HC3N -> C3HN+ + H
H+ + HNC3 -> H+ + HC3N
H+ + HNC3 -> C3HN+ + H
H+ + HNC3 -> C3H+ + NH
H+ + HNC3 -> C3N+ + H2
H+ + HNC3 -> HNC+ + C2H
H+ + HNC3 -> C2H+ + HNC
H+ + NH2CN -> HNC+ + NH2
H+ + NH2CN -> NH2+ + HNC
H+ + SIC2H2 -> SIC2H+ + H2
H+ + SIC2H2 -> SIC2H2+ + H
H+ + SIC3H -> SIC3+ + H2
H+ + SIC3H -> SIC3H+ + H
H+ + SIC4 -> SIC4+ + H
H+ + SICH3 -> CH2SI+ + H2
H+ + SICH3 -> SICH3+ + H
H+ + SIH4 -> SIH3+ + H2
H+ + SIH4 -> SIH4+ + H
H+ + C2H3N -> C2H2N+ + H2
H+ + C2H3N -> C2H3N+ + H
