#size(cm)    nu(1/s)      Qabs         Qsca         g(cos)       
1.000000e-07 1.502719e+16 2.351000e-02 7.802000e-05 1.560000e-02 
1.000000e-07 1.591255e+16 2.080000e-02 7.738000e-05 1.750000e-02 
1.000000e-07 1.686122e+16 1.841000e-02 7.668000e-05 1.970000e-02 
1.000000e-07 1.785542e+16 1.628000e-02 7.589000e-05 2.220000e-02 
1.000000e-07 1.891435e+16 1.438000e-02 7.500000e-05 2.500000e-02 
1.000000e-07 2.003960e+16 1.269000e-02 7.398000e-05 2.810000e-02 
1.000000e-07 2.121673e+16 1.119000e-02 7.285000e-05 3.160000e-02 
1.000000e-07 2.247320e+16 9.858000e-03 7.157000e-05 3.560000e-02 
1.000000e-07 2.381195e+16 8.681000e-03 7.021000e-05 4.000000e-02 
1.000000e-07 2.521383e+16 7.648000e-03 6.880000e-05 4.500000e-02 
1.000000e-07 2.671947e+16 6.704000e-03 6.701000e-05 5.070000e-02 
1.000000e-07 2.830901e+16 5.880000e-03 6.509000e-05 5.700000e-02 
1.000000e-07 2.997925e+16 5.160000e-03 6.307000e-05 6.420000e-02 
1.000000e-07 3.175431e+16 4.523000e-03 6.087000e-05 7.220000e-02 
1.000000e-07 3.363542e+16 3.959000e-03 5.844000e-05 8.130000e-02 
1.000000e-07 3.563019e+16 3.464000e-03 5.579000e-05 9.140000e-02 
1.000000e-07 3.774298e+16 3.030000e-03 5.290000e-05 1.030000e-01 
1.000000e-07 3.997766e+16 2.645000e-03 4.973000e-05 1.160000e-01 
1.000000e-07 4.234955e+16 2.312000e-03 4.636000e-05 1.300000e-01 
1.000000e-07 4.485896e+16 2.018000e-03 4.267000e-05 1.470000e-01 
1.000000e-07 4.751069e+16 1.760000e-03 3.860000e-05 1.650000e-01 
1.000000e-07 5.032608e+16 1.537000e-03 3.424000e-05 1.860000e-01 
1.000000e-07 5.331539e+16 1.335000e-03 2.915000e-05 2.090000e-01 
1.000000e-07 5.646872e+16 1.161000e-03 2.350000e-05 2.350000e-01 
1.000000e-07 5.981494e+16 1.010000e-03 1.823000e-05 2.650000e-01 
1.000000e-07 6.335428e+16 8.784000e-04 7.239000e-06 2.970000e-01 
1.000000e-07 6.711271e+16 7.626000e-04 7.207000e-06 3.330000e-01 
1.000000e-07 7.109141e+16 1.550000e-02 4.446000e-05 3.730000e-01 
1.000000e-07 7.530582e+16 1.390000e-02 5.691000e-05 4.150000e-01 
1.000000e-07 7.977447e+16 1.239000e-02 5.671000e-05 4.600000e-01 
1.000000e-07 8.449618e+16 1.099000e-02 5.643000e-05 5.070000e-01 
1.000000e-07 8.949029e+16 9.706000e-03 5.478000e-05 5.550000e-01 
1.000000e-07 9.481102e+16 8.542000e-03 5.218000e-05 6.020000e-01 
1.000000e-07 1.004330e+17 7.512000e-03 4.925000e-05 6.470000e-01 
1.000000e-07 1.063848e+17 6.547000e-03 4.613000e-05 6.870000e-01 
1.000000e-07 1.126616e+17 5.681000e-03 4.287000e-05 7.200000e-01 
1.000000e-07 1.193441e+17 4.924000e-03 3.957000e-05 7.470000e-01 
1.000000e-07 1.264414e+17 4.263000e-03 3.647000e-05 7.670000e-01 
1.000000e-07 1.338957e+17 3.684000e-03 3.355000e-05 7.820000e-01 
1.000000e-07 1.418800e+17 3.171000e-03 3.074000e-05 7.940000e-01 
1.000000e-07 1.502719e+17 2.728000e-03 2.806000e-05 8.060000e-01 
1.000000e-07 1.591255e+17 2.343000e-03 2.549000e-05 8.210000e-01 
1.000000e-07 1.686122e+17 2.006000e-03 2.301000e-05 8.380000e-01 
1.000000e-07 1.785542e+17 1.716000e-03 2.068000e-05 8.560000e-01 
1.000000e-07 1.891435e+17 1.465000e-03 1.855000e-05 8.720000e-01 
1.000000e-07 2.003960e+17 1.250000e-03 1.664000e-05 8.850000e-01 
1.000000e-07 2.121673e+17 1.065000e-03 1.492000e-05 8.940000e-01 
1.000000e-07 2.247320e+17 9.062000e-04 1.337000e-05 9.010000e-01 
1.000000e-07 2.381195e+17 7.713000e-04 1.196000e-05 9.080000e-01 
1.000000e-07 2.521383e+17 6.568000e-04 1.069000e-05 9.170000e-01 
1.000000e-07 2.671947e+17 5.553000e-04 9.515000e-06 9.270000e-01 
1.000000e-07 2.830901e+17 4.700000e-04 8.472000e-06 9.330000e-01 
1.000000e-07 2.997925e+17 3.986000e-04 7.552000e-06 9.380000e-01 

1.585000e-07 2.997925e+11 3.484000e-07 2.608000e-20 0.000000e+00 
1.585000e-07 3.175431e+11 3.864000e-07 3.283000e-20 0.000000e+00 
1.585000e-07 3.363542e+11 4.289000e-07 4.133000e-20 0.000000e+00 
1.585000e-07 3.563019e+11 4.764000e-07 5.203000e-20 0.000000e+00 
1.585000e-07 3.774298e+11 5.296000e-07 6.549000e-20 0.000000e+00 
1.585000e-07 3.997766e+11 5.892000e-07 8.244000e-20 0.000000e+00 
1.585000e-07 4.234955e+11 6.559000e-07 1.038000e-19 0.000000e+00 
1.585000e-07 4.485896e+11 7.306000e-07 1.306000e-19 0.000000e+00 
1.585000e-07 4.751069e+11 8.143000e-07 1.644000e-19 0.000000e+00 
1.585000e-07 5.032608e+11 9.081000e-07 2.070000e-19 0.000000e+00 
1.585000e-07 5.331539e+11 1.013000e-06 2.605000e-19 0.000000e+00 
1.585000e-07 5.646872e+11 1.131000e-06 3.279000e-19 0.000000e+00 
1.585000e-07 5.981494e+11 1.263000e-06 4.128000e-19 0.000000e+00 
1.585000e-07 6.335428e+11 1.411000e-06 5.196000e-19 0.000000e+00 
1.585000e-07 6.711271e+11 1.577000e-06 6.540000e-19 0.000000e+00 
1.585000e-07 7.109141e+11 1.763000e-06 8.231000e-19 0.000000e+00 
1.585000e-07 7.530582e+11 1.972000e-06 1.036000e-18 0.000000e+00 
1.585000e-07 7.977447e+11 2.205000e-06 1.304000e-18 0.000000e+00 
1.585000e-07 8.449618e+11 2.467000e-06 1.641000e-18 0.000000e+00 
1.585000e-07 8.949029e+11 2.760000e-06 2.065000e-18 0.000000e+00 
1.585000e-07 9.481102e+11 3.089000e-06 2.599000e-18 0.000000e+00 
1.585000e-07 1.004330e+12 3.457000e-06 3.271000e-18 0.000000e+00 
1.585000e-07 1.063848e+12 3.870000e-06 4.116000e-18 0.000000e+00 
1.585000e-07 1.126616e+12 4.332000e-06 5.180000e-18 0.000000e+00 
1.585000e-07 1.193441e+12 4.849000e-06 6.518000e-18 0.000000e+00 
1.585000e-07 1.264414e+12 5.427000e-06 8.200000e-18 0.000000e+00 
1.585000e-07 1.338957e+12 6.075000e-06 1.032000e-17 0.000000e+00 
1.585000e-07 1.418800e+12 6.799000e-06 1.298000e-17 0.000000e+00 
1.585000e-07 1.502719e+12 7.608000e-06 1.633000e-17 0.000000e+00 
1.585000e-07 1.591255e+12 8.513000e-06 2.053000e-17 0.000000e+00 
1.585000e-07 1.686122e+12 9.524000e-06 2.582000e-17 0.000000e+00 
1.585000e-07 1.785542e+12 1.065000e-05 3.247000e-17 0.000000e+00 
1.585000e-07 1.891435e+12 1.191000e-05 4.083000e-17 0.000000e+00 
1.585000e-07 2.003960e+12 1.332000e-05 5.133000e-17 0.000000e+00 
1.585000e-07 2.121673e+12 1.488000e-05 6.451000e-17 0.000000e+00 
1.585000e-07 2.247320e+12 1.663000e-05 8.107000e-17 0.000000e+00 
1.585000e-07 2.381195e+12 1.857000e-05 1.019000e-16 0.000000e+00 
1.585000e-07 2.521383e+12 2.073000e-05 1.279000e-16 0.000000e+00 
1.585000e-07 2.671947e+12 2.312000e-05 1.606000e-16 0.000000e+00 
1.585000e-07 2.830901e+12 2.577000e-05 2.016000e-16 0.000000e+00 
1.585000e-07 2.997925e+12 2.870000e-05 2.530000e-16 0.000000e+00 
1.585000e-07 3.175431e+12 3.192000e-05 3.173000e-16 0.000000e+00 
1.585000e-07 3.363542e+12 3.544000e-05 3.977000e-16 0.000000e+00 
1.585000e-07 3.563019e+12 3.929000e-05 4.983000e-16 0.000000e+00 
1.585000e-07 3.774298e+12 4.347000e-05 6.239000e-16 0.000000e+00 
1.585000e-07 3.997766e+12 4.800000e-05 7.808000e-16 0.000000e+00 
1.585000e-07 4.234955e+12 5.286000e-05 9.764000e-16 0.000000e+00 
1.585000e-07 4.485896e+12 5.804000e-05 1.220000e-15 0.000000e+00 
1.585000e-07 4.751069e+12 6.353000e-05 1.523000e-15 0.000000e+00 
1.585000e-07 5.032608e+12 6.928000e-05 1.901000e-15 0.000000e+00 
1.585000e-07 5.331539e+12 7.523000e-05 2.370000e-15 0.000000e+00 
1.585000e-07 5.646872e+12 8.130000e-05 2.952000e-15 0.000000e+00 
1.585000e-07 5.981494e+12 8.741000e-05 3.674000e-15 0.000000e+00 
1.585000e-07 6.335428e+12 9.347000e-05 4.569000e-15 0.000000e+00 
1.585000e-07 6.711271e+12 9.929000e-05 5.679000e-15 0.000000e+00 
1.585000e-07 7.109141e+12 1.048000e-04 7.055000e-15 0.000000e+00 
1.585000e-07 7.530582e+12 1.097000e-04 8.761000e-15 0.000000e+00 
1.585000e-07 7.977447e+12 1.139000e-04 1.088000e-14 0.000000e+00 
1.585000e-07 8.449618e+12 1.174000e-04 1.351000e-14 0.000000e+00 
1.585000e-07 8.949029e+12 1.199000e-04 1.679000e-14 0.000000e+00 
1.585000e-07 9.481102e+12 1.216000e-04 2.088000e-14 0.000000e+00 
1.585000e-07 1.004330e+13 1.223000e-04 2.599000e-14 0.000000e+00 
1.585000e-07 1.063848e+13 1.222000e-04 3.239000e-14 0.000000e+00 
1.585000e-07 1.126616e+13 1.215000e-04 4.042000e-14 0.000000e+00 
1.585000e-07 1.193441e+13 1.203000e-04 5.049000e-14 0.000000e+00 
1.585000e-07 1.264414e+13 1.185000e-04 6.314000e-14 0.000000e+00 
1.585000e-07 1.338957e+13 1.163000e-04 7.907000e-14 0.000000e+00 
1.585000e-07 1.418800e+13 1.142000e-04 9.914000e-14 0.000000e+00 
1.585000e-07 1.502719e+13 1.123000e-04 1.244000e-13 0.000000e+00 
1.585000e-07 1.591255e+13 1.103000e-04 1.562000e-13 0.000000e+00 
1.585000e-07 1.686122e+13 1.087000e-04 1.963000e-13 0.000000e+00 
1.585000e-07 1.785542e+13 1.076000e-04 2.469000e-13 0.000000e+00 
1.585000e-07 1.891435e+13 1.071000e-04 3.107000e-13 0.000000e+00 
